"fold","B0","B1","B2"
1,0.798483173956152,0.810630225224324,0.815463121564545
2,0.843026113391147,0.859304304231725,0.861314573814257
3,0.802617572189688,0.820474864510147,0.820568929061307
4,0.831383161223101,0.837663943773686,0.842614166302001
5,0.8344735163526,0.851104455027382,0.854060869528483
6,0.828432975788391,0.841245726135563,0.846971194587874
7,0.772563939400732,0.797358624158068,0.8033398556064
8,0.829089296331324,0.843252078877956,0.845984617463491
9,0.806365271136759,0.814630526838433,0.823908988657306
10,0.780527733410348,0.785989699949762,0.789813499036726
