rank,organ,system,n_present,frac_present,spearman_vol_age,spearman_p_bh_fdr,perm_importance,organ_clock_mae,best_pathology,best_cohen_d,best_p,best_p_bh_fdr
1,aorta,cardiovascular,1103,0.899,0.2976449572988786,2.0353787163543884e-22,2.869538304430448,11.360715676467791,vascular,0.39416897023311703,2.759319201948169e-05,0.0015866085411201972
2,subclavian_artery_right,cardiovascular,731,0.596,0.39594530869835143,4.326647290896816e-27,0.7317799942091515,10.548305383147774,inflammation,0.19374663653069182,0.0813422550010966,0.17322887639122422
3,iliac_artery_left,cardiovascular,637,0.519,0.34452198255527344,9.871824618421335e-18,0.6292850595383501,12.160008368015413,vascular,0.5957364659497453,0.00012283561583858684,0.0028252191642874976
4,iliopsoas_right,muscular,841,0.685,-0.09042691972387222,0.020404320365151066,0.50639959854434,11.92703270395458,inflammation,0.18647414186764735,0.19724363305014792,0.2628413358849501
5,brachiocephalic_trunk,cardiovascular,731,0.596,0.42895197044286365,5.09593065421361e-32,0.48894867477817244,10.45109437757603,vascular,0.46569750648546787,4.716393748645296e-05,0.0018079509369806968
6,liver,digestive,938,0.764,-0.21820274616460678,1.4881123712120286e-10,0.35933610681269457,11.822691700457204,vascular,-0.02983107183019831,0.5417503122304076,0.5513388133318308
7,autochthon_left,muscular,1132,0.923,-0.0627565074411868,0.07137138796805369,0.30609520370326654,12.002450615442035,inflammation,0.05831678296734869,0.22985901832296474,0.29048117700154885
8,rib_right_4,skeletal,787,0.641,0.03745783141051998,0.3714599636203231,0.15651660578160786,11.621509272598747,inflammation,0.1342888859679055,0.16811460836611086,0.2489026817114625
9,femur_left,skeletal,564,0.46,0.27321596901261097,3.937417834669142e-10,0.15582497408161072,11.92313462377408,trauma,0.42912885810541346,0.012087569950102168,0.07933109783183231
10,scapula_left,skeletal,809,0.659,-0.013256640890227725,0.748507525413206,0.1456942539343916,11.873399623544902,tumor,0.17785112566200825,0.030911029909166086,0.1349244274222402
11,spleen,digestive,885,0.721,-0.18822630776306862,1.1362212126143796e-07,0.14171735375450342,11.979585234134214,vascular,0.13971831636973306,0.11831903861543053,0.20009837412903692
12,iliac_artery_right,cardiovascular,634,0.517,0.3199424409197402,3.4045775177331382e-15,0.14031158558078355,12.278314105169828,vascular,0.6622926819640798,8.557014744799168e-06,0.0009840566956519044
13,duodenum,digestive,765,0.623,0.09662089154977324,0.01794177411096812,0.11716909259363825,12.26619560968305,vascular,0.11663903319755148,0.2734973787717585,0.3209408016199207
14,autochthon_right,muscular,1130,0.921,-0.05429210721364772,0.11186962054115088,0.11054456574059394,12.119480185321716,tumor,0.07089924325229993,0.19204187092135827,0.2628413358849501
15,kidney_left,urinary,801,0.653,-0.1963253835792438,1.3512482868145225e-07,0.10127389279333969,11.860722466052295,vascular,0.005234570466742935,0.4782013637971824,0.4932258805722014
16,vertebrae_C4,skeletal,250,0.204,0.026022711242647475,0.7404813674326486,0.08860453645492675,13.900358026634942,tumor,0.3439460315987982,0.0687150839496853,0.16293839443074884
17,pancreas,digestive,810,0.66,-0.17485366951441708,2.7661969461698335e-06,0.08712608498451854,11.785852016687043,inflammation,0.02430414442186081,0.34928401493622957,0.40573395674410506
18,lung_lower_lobe_left,respiratory,1005,0.819,-0.00816742182264255,0.8199652913419246,0.0866191860765171,11.906067742858234,trauma,0.046621615048409414,0.38158830141233374,0.4260451908972658
19,kidney_right,urinary,781,0.637,-0.15409574339398915,5.1502753555254406e-05,0.07335905125927762,12.128334904288788,trauma,0.1485772802647676,0.3662814182157078,0.4169314979000611
20,trachea,respiratory,792,0.645,0.11435516779613386,0.0033070154717278993,0.0707209097314757,11.8068121542442,trauma,0.2239902270325866,0.05081991934892057,0.1425436762225821
21,atrial_appendage_left,cardiovascular,671,0.547,0.2414670370732137,2.069424302887747e-09,0.06849570859849173,10.86814279130606,inflammation,0.166539336493804,0.12705497621393141,0.2087331752086016
22,spinal_cord,nervous,1182,0.963,0.0394415275262175,0.2372860016458345,0.0683955610417771,12.564535471713201,inflammation,0.1474374380114496,0.10438961464185648,0.18837173997237164
23,portal_vein_and_splenic_vein,cardiovascular,829,0.676,-0.07038377651303708,0.08336103238435183,0.057990229353454915,12.309148016681219,trauma,0.20906815947380009,0.14971345564405203,0.23266280269008088
24,rib_left_3,skeletal,772,0.629,0.01973231002643358,0.6716998537621065,0.057616161369378395,11.489239399039075,tumor,0.16152995744795096,0.03332562669291518,0.13687310963161592
25,vertebrae_C2,skeletal,252,0.205,0.018111873643527964,0.8100108863023864,0.05678396137641797,14.419828550149974,trauma,0.2173679096826428,0.1489974557484734,0.23266280269008088
26,adrenal_gland_right,endocrine_reproductive,826,0.673,0.08623229545551231,0.030285728485845657,0.054185084500084635,11.865378069623466,trauma,0.2174381932346459,0.07584374306360782,0.1677313548522096
