axis,pathology,n_path,n_ctrl,mean_corr_gap,cohen_d,mwu_p_onesided,p_bh_fdr,sig_fdr05
cardiovascular,vascular,154,404,2.7630506017993115,0.3377797512839121,6.861591672031063e-05,0.002744636668812425,True
cardiovascular,trauma,92,404,2.499918343544883,0.2981383156478589,0.002846688637257644,0.037955848496768585,True
cardiovascular,inflammation,86,404,0.6901908443447543,0.08374220967867693,0.20543839505858008,0.4565297667968446,False
cardiovascular,tumor,237,404,-0.5686366249165146,-0.06936154390669064,0.8305517151976956,0.8978937461596708,False
cardiovascular,bleeding,15,404,-0.9144947631096305,-0.11098985772855675,0.717124988290508,0.819571415189152,False
digestive,trauma,92,404,1.3138420881548054,0.17026579533100739,0.10135618424905657,0.34027823383390815,False
digestive,vascular,154,404,1.2180742222869851,0.1595707774374498,0.057209712502778697,0.32691264287302113,False
digestive,inflammation,86,404,-0.06356913188635964,-0.008112658227265134,0.5858200823575829,0.819571415189152,False
digestive,tumor,237,404,-0.2461528464806828,-0.031160787111047264,0.6739658328415516,0.819571415189152,False
digestive,bleeding,15,404,-0.991741674604629,-0.12751002234033348,0.6643989521197894,0.819571415189152,False
endocrine_reproductive,tumor,237,404,1.3282376700898635,0.1899415821161582,0.0016947196305157918,0.033894392610315835,True
endocrine_reproductive,inflammation,86,404,0.8595565127822289,0.12882118474599819,0.09055950049778033,0.34027823383390815,False
endocrine_reproductive,vascular,154,404,0.6425572401166179,0.09550979409418349,0.11974390293773313,0.34027823383390815,False
endocrine_reproductive,trauma,92,404,-0.3135928736596219,-0.046716085170114635,0.6998229951838321,0.819571415189152,False
endocrine_reproductive,bleeding,15,404,-2.044909464075998,-0.3006802959288979,0.9421571057301159,0.9663149802360164,False
muscular,vascular,154,404,0.38063748458903784,0.054875640774535946,0.33831953276036353,0.6151264232006609,False
muscular,trauma,92,404,0.038985045093459826,0.005342472931422936,0.381693517648544,0.6376538426071654,False
muscular,inflammation,86,404,-0.037518436056711124,-0.005111316507767027,0.47058230914818067,0.7467280099265806,False
muscular,bleeding,15,404,-0.041435480827353405,-0.005837089973981402,0.5948093245980532,0.819571415189152,False
muscular,tumor,237,404,-1.072373492168535,-0.15028078838953587,0.9747541240536137,0.9747541240536137,False
nervous,trauma,92,404,1.557799795565156,0.2978009009484119,0.006741461140451137,0.06741461140451137,False
nervous,tumor,237,404,0.9918567283167267,0.1931718991238872,0.019031039241803303,0.15224831393442642,False
nervous,vascular,154,404,0.3790460795792002,0.07233063632839887,0.24236604525438588,0.4948853141064715,False
nervous,inflammation,86,404,-0.006544369557443548,-0.0012476255905944826,0.5108730065986263,0.7568488986646316,False
nervous,bleeding,15,404,-2.3125829178854356,-0.4313589339647055,0.9145059600805413,0.9626378527163593,False
respiratory,vascular,154,404,1.321304591290307,0.17440766610116917,0.023877785652236735,0.15918523768157825,False
respiratory,trauma,92,404,0.914221025778598,0.12167142560887453,0.3094908878314204,0.5895064530122294,False
respiratory,inflammation,86,404,0.7412542501420412,0.09722105919941068,0.15102942878832837,0.3775735719708209,False
respiratory,bleeding,15,404,0.002914800389860754,0.0003839667345505146,0.6256196950489017,0.819571415189152,False
respiratory,tumor,237,404,-0.1612510805703719,-0.021156037679275912,0.4853732064522774,0.7467280099265806,False
skeletal,bleeding,15,404,2.3711965046047094,0.3216338260509468,0.07422432678894998,0.3298858968397777,False
skeletal,inflammation,86,404,1.2052037896368393,0.1618425681264219,0.10441274791359051,0.34027823383390815,False
skeletal,trauma,92,404,1.0400811666568455,0.14008026356131809,0.16402114690260583,0.38593211035907254,False
skeletal,vascular,154,404,0.8893750218834133,0.12261978589507001,0.12056721869592024,0.34027823383390815,False
skeletal,tumor,237,404,-0.3338468725742337,-0.04540197670914662,0.7090957423807596,0.819571415189152,False
urinary,bleeding,15,404,1.2644922052025984,0.21762578381297398,0.12760433768771556,0.34027823383390815,False
urinary,trauma,92,404,0.6566174086201247,0.1092728321447684,0.06797066795904172,0.3298858968397777,False
urinary,vascular,154,404,0.5171649024936871,0.08948407126389349,0.24744265705323576,0.4948853141064715,False
urinary,tumor,237,404,0.17091916734972296,0.029689652791630362,0.38259230556429924,0.6376538426071654,False
urinary,inflammation,86,404,-0.12626559204268697,-0.0212431788355774,0.8182561813282645,0.8978937461596708,False
whole_body,vascular,154,404,2.779149640301074,0.3610875197832896,5.413770765556275e-05,0.00027068853827781375,True
whole_body,trauma,92,404,1.8344474670976658,0.23247391197336026,0.03894217247663958,0.09735543119159894,False
whole_body,inflammation,86,404,1.009580087258616,0.1291788009366469,0.1429285943947588,0.2382143239912647,False
whole_body,tumor,237,404,-0.5418592016580642,-0.06976392839552925,0.7606761950756864,0.7606761950756864,False
whole_body,bleeding,15,404,-1.5923341010331702,-0.19894027135540715,0.7344849194183551,0.7606761950756864,False
