index,identifier,description
1319,ENCFF300IKA,DNASE:osteoblast
1334,ENCFF747REW,DNASE:stromal cell of bone marrow male
1392,ENCFF549TYD,DNASE:skeletal muscle myoblast
1393,ENCFF684FJC,DNASE:myotube originated from skeletal muscle myoblast
1395,ENCFF652HJH,DNASE:fibroblast of villous mesenchyme
1423,ENCFF627SBE,DNASE:skeletal muscle cell
1523,ENCFF016KEV,DNASE:forelimb muscle female embryo (108 days)
1578,ENCFF430CNF,DNASE:arm bone male embryo (81 day)
1634,ENCFF973KXU,DNASE:hindlimb muscle male embryo (120 days)
1654,ENCFF869XYK,DNASE:leg bone male embryo (81 day)
1667,ENCFF573KUK,DNASE:leg bone male embryo (81 day)
1709,ENCFF850IPE,DNASE:limb embryo (58 days) and embryo (59 days)
1809,ENCFF594UFP,DNASE:mesenchymal stem cell originated from H1-hESC
1852,ENCFF540ITV,DNASE:limb embryo (53 days) and embryo (56 days)
1854,ENCFF867YFT,DNASE:dedifferentiated amniotic fluid mesenchymal stem cell
1940,ENCFF658GXI,DNASE:arm bone male embryo (81 day)
